,ratio1,ratio2,ratio3,ratio4,ratio5,status
0,0.73,0.38,-0.18,-1.8,-0.33,1
1,1.55,1.41,0.47,0.83,0.2,0
2,3.14,1.69,0.02,0.05,0.11,0
3,6.7,6.7,-0.18,-0.35,-0.62,0
4,1.31,0.09,0.03,0.09,0.03,0
5,1.07,0.9,0.02,0.01,0.02,0
6,5.03,4.74,0.08,0.13,0.15,0
7,4.52,4.38,0.1,0.07,0.22,0
8,1.24,0.95,0.06,0.08,0.06,0
9,0.93,0.57,0.02,0.02,0.06,1
10,1.37,1.02,0.03,0.5,0.01,0
11,0.08,0.08,-0.01,-0.02,0.07,0
12,0.99,0.99,-0.01,-0.77,0.02,0
13,2.03,1.9,0.09,0.13,0.07,0
14,0.41,0.16,0.02,0.03,0.46,0
15,1.18,0.17,0.05,0.03,0.05,0
16,1.08,1.06,0.01,0.02,0.01,0
17,1.21,1.21,-0.05,-0.38,-0.06,1
18,1.57,1.56,0.03,0.03,0.06,0
19,1.22,1.22,0.06,0.17,0.04,0
20,0.71,0.56,0.0,0.05,0.01,1
21,4.34,3.84,0.01,0.01,0.08,0
22,0.16,0.16,-1.17,-1.03,-0.36,1
23,1.49,1.49,0.06,0.08,0.04,0
24,1.11,0.55,0.07,0.15,0.08,0
25,1.42,1.42,0.2,0.41,0.24,0
26,1.42,1.4,0.01,0.0,0.2,0
27,1.39,1.39,0.1,0.14,0.12,0
28,1.82,0.22,0.03,0.11,0.5,0
29,1.24,1.16,0.04,0.04,0.02,0
30,0.81,0.81,-0.05,-0.38,-0.01,0
31,0.68,0.57,-0.43,-1.05,-0.41,1
32,1.24,0.47,0.06,0.23,0.08,0
33,0.67,0.66,0.03,0.54,0.07,0
34,1.34,1.06,-0.02,-0.09,0.0,0
35,3.62,3.13,0.04,0.06,0.04,0
36,0.69,0.68,-0.01,0.02,0.17,0
37,2.51,1.86,0.04,0.05,0.08,0
38,1.12,0.1,0.0,0.06,0.02,0
39,1.12,1.11,0.23,0.83,0.04,0
40,0.9,0.9,-0.28,-2.22,-0.11,0
41,0.73,0.48,0.01,0.01,0.23,0
42,1.04,0.2,0.04,0.12,0.07,1
43,0.08,0.05,-0.06,-1.0,-0.12,1
44,0.85,0.85,0.05,0.19,0.05,0
45,1.31,1.16,-0.04,-0.21,0.01,0
46,1.33,1.32,0.02,0.02,0.07,0
47,0.82,0.82,0.1,0.27,0.11,0
48,2.4,2.34,0.17,0.45,0.15,0
49,2.3,1.59,0.1,0.11,0.1,0
50,0.17,0.17,0.03,0.05,0.47,0
51,1.17,1.17,0.08,0.24,0.11,0
52,1.18,1.18,0.03,0.76,0.08,0
53,0.5,0.5,-0.67,-1.04,-0.38,1
54,1.86,1.86,0.46,0.56,0.06,0
55,1.09,1.0,0.02,0.02,0.02,0
56,0.72,0.66,0.06,0.02,0.15,0
57,2.75,2.71,0.06,0.09,0.06,0
58,0.32,0.32,0.11,0.56,0.8,0
59,1.34,0.99,0.03,0.05,0.04,0
60,1.07,0.98,0.08,0.92,0.06,0
61,2.22,2.21,0.06,0.18,0.82,0
62,1.55,1.45,0.16,0.2,0.18,0
63,1.08,1.03,0.02,0.01,0.01,0
64,2.09,2.09,-0.04,-0.14,-0.01,0
65,0.98,0.98,0.05,0.44,0.05,0
66,0.54,0.54,0.02,-0.02,0.06,0
67,1.01,0.76,0.04,-0.1,0.03,0
68,1.05,0.8,0.03,0.58,0.06,1
69,0.62,0.29,-0.04,-1.24,0.0,0
70,0.58,0.51,0.03,0.03,0.05,0
71,3.08,1.74,0.05,0.04,0.11,0
72,0.66,0.66,-0.03,-1.15,-0.02,0
73,1.4,1.24,0.08,0.14,0.16,0
74,1.92,1.84,0.26,0.39,0.3,0
75,1.45,1.3,0.06,0.22,0.04,0
76,1.02,0.71,0.03,0.04,0.05,0
77,0.57,0.46,-0.01,-4.78,0.07,0
78,1.55,1.16,0.08,0.51,0.1,0
79,1.33,0.98,0.04,0.56,0.03,0
80,1.4,1.1,0.07,0.13,0.06,0
81,2.32,2.22,0.03,0.12,0.01,0
82,1.2,1.05,0.06,0.09,0.1,0
83,1.97,1.43,0.04,0.05,0.07,0
84,1.85,1.69,0.03,0.02,0.04,0
85,1.08,1.07,0.03,0.14,0.24,0
86,1.61,0.39,0.02,0.01,0.02,0
87,0.54,0.45,-0.4,-1.06,-0.17,1
88,8.81,1.89,0.08,0.07,0.03,0
89,2.4,2.16,0.04,0.09,0.02,0
90,1.26,1.18,-0.05,-0.96,-0.02,0
